817	761	688	698
188	630	788	66
787	902	500	198
300	696	581	311
814	236	706	545
677	729	153	435
470	284	431	890
235	911	237	431
701	853	125	439
269	59	450	928
348	571	815	673
322	665	617	278
35	803	800	765
777	918	777	213
723	140	422	908
840	504	794	446
264	128	566	175
520	965	55	235
140	81	732	638
150	126	269	160
626	399	747	369
446	111	126	740
567	882	18	694
917	177	353	667
954	31	303	717
696	854	674	708
663	94	238	670
526	600	772	711
957	966	659	273
862	513	440	584
437	420	942	41
846	461	499	604
451	535	226	401
577	378	558	35
553	998	423	188
206	121	344	380
370	351	64	78
601	652	581	515
953	788	979	535
699	887	134	502
433	572	169	610
596	59	207	52
202	588	71	863
748	597	895	776
41	695	710	386
514	733	587	1
487	518	987	974
406	14	288	405
883	665	672	476
505	731	250	292
767	451	377	402
484	853	785	865
816	702	857	486
54	495	903	603
163	868	858	843
754	942	144	862
145	937	429	101
230	595	555	876
280	369	243	979
444	554	37	2
343	17	896	696
69	513	380	18
891	570	270	254
107	106	610	709
565	102	131	390
712	705	370	639
770	119	11	421
952	875	688	472
729	376	948	730
143	851	201	20
947	312	150	366
362	668	643	646
421	643	676	67
777	474	376	771
430	728	94	967
270	175	191	340
654	621	14	65
838	146	850	14
633	770	139	901
724	514	157	556
64	671	68	268
253	289	817	758
608	647	317	309
505	842	879	561
502	665	255	132
166	629	269	69
138	684	440	670
956	606	215	349
709	34	997	671
389	118	979	927
163	634	194	391
290	638	353	117
721	721	378	506
709	581	974	696
299	956	188	578
145	878	871	540
784	996	496	585
28	619	877	285
907	232	930	32
432	751	615	721
583	642	573	636
659	279	306	67
485	44	619	612
115	470	809	208
208	407	606	192
597	543	614	402
533	19	853	10
309	832	529	68
53	75	404	883
631	733	751	835
259	582	994	95
880	561	387	722
592	786	560	229
996	325	786	142
787	180	352	272
407	62	249	349
71	145	681	272
928	651	229	368
759	569	723	654
102	469	748	223
154	915	553	107
885	862	620	296
140	239	188	317
265	388	472	489
300	255	754	641
875	876	474	746
471	449	91	149
676	970	468	362
285	623	572	783
751	337	906	480
701	485	717	765
479	787	876	220
696	383	623	377
426	520	142	582
356	404	915	851
982	158	596	373
673	269	468	820
289	377	28	907
226	207	506	95
838	560	43	16
848	787	279	694
400	948	344	935
512	267	642	914
506	393	550	61
100	245	784	32
363	878	64	807
304	983	272	878
717	38	320	219
270	50	245	800
827	46	138	664
237	909	375	974
706	970	935	615
961	140	960	787
273	775	473	743
973	543	648	206
180	134	975	900
954	659	366	873
85	430	907	517
192	441	610	321
347	365	118	756
863	503	873	223
704	645	481	799
755	913	995	348
123	37	754	560
326	872	284	667
76	608	832	448
446	515	403	72
744	78	427	462
846	907	209	498
936	124	374	227
568	225	808	357
282	970	398	683
851	154	141	174
781	354	616	305
801	946	561	512
455	164	122	634
819	787	187	65
572	550	274	396
739	319	802	785
746	602	665	626
897	538	119	142
60	182	487	468
356	310	694	673
528	954	102	578
178	672	828	776
984	540	287	759
335	32	151	650
986	985	671	250
354	244	427	188
729	604	74	967
908	921	381	350
870	345	341	516
514	419	400	781
519	383	627	862
894	639	679	16
130	334	848	330
136	330	298	84
842	874	703	550
101	390	279	408
682	774	991	948
821	57	89	549
8	467	739	605
44	779	146	244
448	659	684	917
871	400	295	660
86	895	532	241
746	794	102	99
392	819	482	926
391	522	887	530
7	565	85	474
204	810	216	301
923	553	692	940
331	648	23	887
894	713	598	15
848	309	727	698
690	143	546	310
972	969	13	944
541	865	356	711
498	383	809	408
363	740	700	575
146	18	815	709
377	403	60	815
288	840	548	350
996	135	377	159
246	728	183	142
438	573	51	991
399	5	329	686
757	203	77	937
893	732	876	79
844	711	823	570
903	568	894	130
327	517	604	112
246	304	662	207
520	883	348	223
785	926	990	57
343	818	57	922
296	716	647	12
128	593	329	874
151	546	767	656
418	760	316	14
41	126	942	244
300	346	271	339
647	808	264	734
944	420	651	314
160	617	684	535
994	11	716	886
98	869	630	533
665	387	386	627
372	17	557	41
642	716	702	797
908	397	141	978
967	625	631	625
820	70	283	800
781	394	393	246
119	219	162	645
636	658	945	154
638	906	949	500
643	108	551	473
638	365	905	932
639	562	574	473
328	495	303	468
711	595	668	932
931	691	727	918
443	534	319	57
938	443	331	702
991	401	979	178
952	23	109	793
98	774	293	655
873	659	710	569
773	331	26	558
511	311	487	429
212	441	239	912
355	143	483	797
513	851	161	467
737	383	366	774
128	685	264	20
704	966	287	148
448	402	249	225
106	795	47	60
752	1	982	313
546	237	754	383
520	166	504	587
224	966	259	745
3	325	943	467
318	715	286	970
652	582	189	797
904	652	80	184
503	216	175	510
273	193	702	97
283	173	277	899
821	253	842	336
462	122	744	449
767	841	95	479
490	396	96	32
1	565	537	887
754	770	408	485
54	698	306	114
344	574	570	871
311	12	161	63
747	800	375	445
778	314	759	81
5	713	195	989
928	492	844	412
799	887	223	243
982	199	301	580
690	621	553	797
312	358	776	389
940	753	742	91
982	49	92	170
126	368	12	390
236	161	372	391
623	611	875	131
658	650	9	373
528	173	175	271
433	554	498	926
989	106	714	2
219	983	147	953
750	821	220	663
949	783	512	116
562	257	903	526
914	138	401	671
40	793	219	941
39	422	3	669
672	5	661	121
142	570	795	700
87	970	231	428
698	690	405	992
6	928	696	776
614	962	963	986
209	241	938	711
258	772	575	526
562	885	394	915
328	29	76	682
349	473	66	851
936	763	134	552
749	935	701	259
777	324	138	871
64	411	90	929
412	899	398	375
707	696	500	778
165	98	201	441
505	771	133	714
701	476	236	970
746	403	250	130
174	617	775	929
276	510	287	916
190	878	59	952
702	132	488	654
498	79	192	459
710	949	342	916
274	561	347	260
92	198	891	241
138	834	292	575
11	445	785	76
458	185	149	122
324	855	77	731
778	635	573	54
428	810	389	521
670	122	369	120
101	162	659	184
972	712	625	230
797	888	7	148
926	447	377	642
331	197	105	97
589	484	306	708
14	403	145	543
203	816	874	424
699	146	825	490
799	109	789	471
418	971	978	388
163	529	164	551
366	421	956	893
967	48	169	47
485	190	924	312
945	764	159	450
692	219	146	637
283	14	533	406
307	671	304	26
942	398	642	884
322	149	957	725
658	825	52	92
588	950	825	330
23	923	793	650
558	507	630	359
895	496	462	758
448	822	954	783
429	825	137	324
113	68	890	826
149	37	848	12
715	283	551	317
566	805	878	784
155	231	220	54
145	393	274	329
697	473	731	623
232	707	883	109
818	477	858	594
394	412	535	693
426	601	663	634
388	33	5	75
819	448	899	911
742	290	991	882
578	561	99	30
252	333	702	112
440	597	687	548
835	620	540	724
331	140	701	51
82	940	378	758
455	347	254	88
293	104	431	401
173	969	746	178
553	278	136	220
699	13	275	769
320	147	195	588
422	473	604	387
768	337	226	160
34	488	636	804
151	173	692	537
938	940	281	816
96	667	900	447
659	390	250	399
394	796	400	488
656	867	265	986
685	427	798	485
694	290	272	801
859	279	785	83
714	390	20	267
142	261	188	387
502	781	505	350
623	120	530	723
656	490	534	338
838	769	730	781
363	580	742	258
160	291	709	947
595	255	810	222
10	358	617	871
310	146	388	494
23	947	297	32
318	20	495	145
363	691	263	114
155	226	218	666
16	564	923	619
39	164	449	2
887	836	364	21
602	57	303	292
124	568	571	72
765	677	870	219
607	547	422	263
329	421	159	991
860	536	763	465
469	803	875	607
739	9	70	436
369	14	994	728
123	7	403	906
146	656	625	915
737	700	148	551
643	152	481	414
61	442	972	465
642	206	835	934
828	420	980	458
705	521	500	888
514	783	67	50
744	840	658	161
648	175	284	904
591	676	422	650
743	881	447	780
93	630	674	397
381	849	259	955
920	571	324	433
684	332	624	981
573	289	300	40
709	765	409	581
549	233	233	201
468	950	872	335
970	454	861	872
534	8	370	285
583	818	502	969
636	320	110	498
349	28	698	705
654	19	738	877
886	701	666	218
305	890	889	568
756	844	163	495
783	160	199	385
69	277	222	272
964	105	93	372
608	739	503	744
471	971	936	91
